Player Display Name,Session Type,Drill Title,Session Date,Dives,Dives Right,Dives Left,GK Load,Average GK Power,Average Time Since Last Dive,Average Dive Impact,Total Distance,Accelerations (Absolute),Decelerations (Absolute),HML Distance,Session Start Time,Session End Time,Session Week Number,Session Day of Week,Session Title,Drill Start Time,Drill End Time,Drill Date,Player Last Name,Total Time,
"99  Kucherenko","Match Day -2","Entire Session",3/20/2026,27,12,15,385.36,463,2.62,40.67,3615.14,50,26,327.88,12:09:08PM,1:28:16PM,12,"Friday","MD-2 / GK",12:10:25PM,1:28:16PM,"3/20/2026","Kucherenko",77.84,
"1 Pardalos","Match Day -3","Entire Session",3/19/2026,33,18,15,435.8,439,2.19,52.46,3580.9,43,34,282.21,12:15:08PM,1:46:00PM,12,"Thursday","MD-3 / GK",12:16:15PM,1:46:00PM,"3/19/2026","Pardalos",89.73,
"99  Kucherenko","Match Day -3","Entire Session",3/19/2026,36,20,16,442.62,503,1.95,58.8,2902.49,45,37,179.31,12:15:08PM,1:46:00PM,12,"Thursday","MD-3 / GK",12:15:08PM,1:43:43PM,"3/19/2026","Kucherenko",88.57,
"1 Pardalos","Match Day -4","Entire Session",3/18/2026,28,16,12,336.76,468,1.53,48.65,3386.68,72,40,433.82,5:49:10PM,6:56:35PM,12,"Wednesday","MD-4 / GK",5:49:18PM,6:56:35PM,"3/18/2026","Pardalos",67.27,
"99  Kucherenko","Match Day -4","Entire Session",3/18/2026,28,13,15,305.46,486,0.82,49.27,3489.45,52,23,374.22,5:49:10PM,6:56:35PM,12,"Wednesday","MD-4 / GK",5:49:10PM,6:54:10PM,"3/18/2026","Kucherenko",64.99,
"99  Kucherenko","Match Day -1","Entire Session",4/25/2026,19,9,10,258.18,493,2.95,25.07,3055.92,40,42,215.25,12:07:04PM,1:19:09PM,17,"Saturday","MD-1 / GK",12:07:04PM,1:19:09PM,"4/25/2026","Kucherenko",72.07,
"1 Pardalos","Match Day -2","Entire Session",4/24/2026,52,28,24,639.35,458,1.28,91.94,3350.46,57,34,162.55,11:20:46AM,12:41:17PM,17,"Friday","MD-2 / GK",11:20:46AM,12:41:17PM,"4/24/2026","Pardalos",80.51,
"99  Kucherenko","Match Day -2","Entire Session",4/24/2026,39,20,19,465.29,476,0.48,54.56,1929.41,25,19,49.89,11:20:46AM,12:41:17PM,17,"Friday","MD-2 / GK",11:21:46AM,12:11:28PM,"4/24/2026","Kucherenko",49.69,
"99  Kucherenko","Match Day -1","Entire Session",4/21/2026,23,16,7,305.78,465,3.03,30.36,3054.31,38,27,187.54,11:58:48AM,1:13:55PM,17,"Tuesday","MD-1 / GK",11:58:48AM,1:13:55PM,"4/21/2026","Kucherenko",75.1,
"99  Kucherenko","Match Day +2","Entire Session",4/20/2026,35,24,11,478.05,439,0.71,47.48,1734.86,22,21,52.08,11:06:17AM,11:55:17AM,17,"Monday","MD+2 / GK",11:06:17AM,11:55:17AM,"4/20/2026","Kucherenko",49,
"99  Kucherenko","Match Day -1","Entire Session",4/17/2026,31,16,15,388.29,588,1.91,50.44,2758.31,28,23,106.84,4:49:40PM,5:59:25PM,16,"Friday","MD-1 / GK",4:49:40PM,5:59:25PM,"4/17/2026","Kucherenko",69.73,
"99  Kucherenko","Match Day -2","Entire Session",4/16/2026,34,23,11,421.6,418,1.71,44.85,2904.71,27,19,104.35,11:07:38AM,12:23:41PM,16,"Thursday","MD-2 / GK",11:07:38AM,12:23:41PM,"4/16/2026","Kucherenko",76.04,
"99  Kucherenko","General","Entire Session",4/15/2026,75,45,30,1020.61,434,0.84,106.27,3647.11,59,54,287.29,11:10:32AM,12:33:11PM,16,"Wednesday","MD-3 / GK",11:10:32AM,12:33:11PM,"4/15/2026","Kucherenko",82.64,
"99  Kucherenko","Match Day -4","Entire Session",4/14/2026,76,45,31,980.01,404,0.54,112.61,2850.56,57,66,250.05,10:45:08AM,12:05:16PM,16,"Tuesday","MD-4 / GK",10:45:08AM,12:05:16PM,"4/14/2026","Kucherenko",80.12,
"1 Pardalos","Match Day -1","Entire Session",4/7/2026,19,10,9,228.49,379,2.71,21.34,1987.25,10,6,40.12,11:47:48AM,12:48:04PM,15,"Tuesday","MD-1 / GK",11:47:48AM,12:48:04PM,"4/7/2026","Pardalos",60.25,
